Area,State Name,LGA Name,lga_code_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly
"The Hills Shire, New South Wales",New South Wales,The Hills Shire (A),17420,38,2500,827,562,2464
"Murweh, Queensland",Queensland,Murweh (S),35600,39,997,672,158,1490
"Moonee Valley, Victoria",Victoria,Moonee Valley (C),25060,38,2000,744,350,2098
"Armidale Regional, New South Wales",New South Wales,Armidale Regional (A),10130,36,1393,561,250,1465
"Hawkesbury, New South Wales",New South Wales,Hawkesbury (C),13800,38,2080,728,360,1916
"Bayside, Victoria",Victoria,Bayside (C),20910,44,2500,897,450,2765
"Peterborough, South Australia",South Australia,Peterborough (DC),45540,54,563,426,140,890
"Tatiara, South Australia",South Australia,Tatiara (DC),47630,42,975,652,150,1409
"Salisbury, South Australia",South Australia,Salisbury (C),47140,35,1357,530,275,1320
"Port Hedland, Western Australia",Western Australia,Port Hedland (T),57280,31,2693,1355,200,3014
"Yarriambiack, Victoria",Victoria,Yarriambiack (S),27630,50,665,491,130,1179
"Donnybrook-Balingup, Western Australia",Western Australia,Donnybrook-Balingup (S),52870,47,1541,563,230,1425
"Boddington, Western Australia",Western Australia,Boddington (S),50630,39,1733,809,274,2097
"Mingenew, Western Australia",Western Australia,Mingenew (S),55530,42,700,732,93,1416
"West Arthur, Western Australia",Western Australia,West Arthur (S),58890,47,800,635,100,1324
"Meander Valley, Tasmania",Tasmania,Meander Valley (M),64210,45,1300,537,210,1359
"Snowy Valleys, New South Wales",New South Wales,Snowy Valleys (A),17080,45,1300,577,180,1418
"Wangaratta, Victoria",Victoria,Wangaratta (RC),26700,45,1300,595,210,1386
"Loddon, Victoria",Victoria,Loddon (S),23940,51,809,467,125,1116
"Western Downs, Queensland",Queensland,Western Downs (R),37310,37,1400,621,200,1467
"Barcoo, Queensland",Queensland,Barcoo (S),30450,46,338,774,82,1687
"Wongan-Ballidu, Western Australia",Western Australia,Wongan-Ballidu (S),59310,41,1083,717,135,1495
"Hume, Victoria",Victoria,Hume (C),23270,33,1650,529,320,1473
"Weddin, New South Wales",New South Wales,Weddin (A),18100,51,910,492,135,1193
"Northampton, Western Australia",Western Australia,Northampton (S),56790,51,1517,530,200,1296
"Central Goldfields, Victoria",Victoria,Central Goldfields (S),21670,50,975,452,195,1001
"Bunbury, Western Australia",Western Australia,Bunbury (C),51190,41,1600,632,295,1502
"Torres, Queensland",Queensland,Torres (S),36950,28,1705,740,151,1919
"Mount Magnet, Western Australia",Western Australia,Mount Magnet (S),55810,42,442,526,145,1399
"York, Western Australia",Western Australia,York (S),59370,51,1500,540,250,1368
